规格类型,业务读流量峰值（MB/s）,业务写流量峰值（MB/s）,分区数,按量付费 (小时),包月,包1年,包2年,包3年,地域
"kafka.200xrate.hw","200","200","750","22.86","14964","179568","359136","538704","亚太东南（雅加达）"
"kafka.200xrate.hw","200","200","750","17.15","11223","134676","269352","404028","中国香港"
"kafka.250xrate.hw","250","250","800","16.78","10988","131856","263712","395568","亚太东南（柔佛）"
"kafka.250xrate.hw","250","250","800","12.62","8262","99144","198288","297432","华北2（北京）"
"kafka.250xrate.hw","250","250","800","12.62","8262","99144","198288","297432","华南1（广州）"
"kafka.250xrate.hw","250","250","800","12.62","8262","99144","198288","297432","华东2（上海）"
"kafka.250xrate.hw","250","250","800","25.24","16524","198288","396576","594864","亚太东南（雅加达）"
"kafka.250xrate.hw","250","250","800","18.93","12393","148716","297432","446148","中国香港"
"kafka.300xrate.hw","300","300","900","13.89","9093","109116","218232","327348","华东2（上海）"
"kafka.300xrate.hw","300","300","900","13.89","9093","109116","218232","327348","华南1（广州）"
"kafka.300xrate.hw","300","300","900","13.89","9093","109116","218232","327348","华北2（北京）"
"kafka.300xrate.hw","300","300","900","18.47","12093.7","145124.4","290248.8","435373.2","亚太东南（柔佛）"
"kafka.300xrate.hw","300","300","900","27.78","18186","218232","436464","654696","亚太东南（雅加达）"
"kafka.300xrate.hw","300","300","900","20.84","13639.5","163674","327348","491022","中国香港"
"kafka.600xrate.hw","600","600","1800","15.88","10393","124716","249432","374148","华北2（北京）"
"kafka.600xrate.hw","600","600","1800","15.88","10393","124716","249432","374148","华南1（广州）"
"kafka.600xrate.hw","600","600","1800","15.88","10393","124716","249432","374148","华东2（上海）"
"kafka.600xrate.hw","600","600","1800","21.12","13822.7","165872.4","331744.8","497617.2","亚太东南（柔佛）"
"kafka.600xrate.hw","600","600","1800","31.76","20786","249432","498864","748296","亚太东南（雅加达）"
"kafka.600xrate.hw","600","600","1800","23.82","15589.5","187074","374148","561222","中国香港"
"kafka.800xrate.hw","800","800","2400","26.95","17640","211680","423360","635040","华东2（上海）"
"kafka.800xrate.hw","800","800","2400","26.95","17640","211680","423360","635040","华南1（广州）"
"kafka.800xrate.hw","800","800","2400","26.95","17640","211680","423360","635040","华北2（北京）"
"kafka.800xrate.hw","800","800","2400","35.84","23461.2","281534.4","563068.8","844603.2","亚太东南（柔佛）"
"kafka.800xrate.hw","800","800","2400","40.43","26460","317520","635040","952560","亚太东南（雅加达）"
"kafka.800xrate.hw","800","800","2400","40.43","26460","317520","635040","952560","中国香港"
"kafka.1000xrate.hw","1000","1000","3000","37.13","24305","291660","583320","874980","华北2（北京）"
"kafka.1000xrate.hw","1000","1000","3000","37.13","24305","291660","583320","874980","华南1（广州）"
"kafka.1000xrate.hw","1000","1000","3000","37.13","24305","291660","583320","874980","华东2（上海）"
"kafka.1000xrate.hw","1000","1000","3000","49.38","32325.7","387908.4","775816.8","1163725.2","亚太东南（柔佛）"
"kafka.1000xrate.hw","1000","1000","3000","49.38","32325.65","387907.8","775815.6","1163723.4","亚太东南（雅加达）"
"kafka.1000xrate.hw","1000","1000","3000","55.7","36457.5","437490","874980","1312470","中国香港"
"kafka.1200xrate.hw","1200","1200","3600","39.39","25785","309420","618840","928260","华东2（上海）"
"kafka.1200xrate.hw","1200","1200","3600","39.39","25785","309420","618840","928260","华南1（广州）"
"kafka.1200xrate.hw","1200","1200","3600","39.39","25785","309420","618840","928260","华北2（北京）"
"kafka.1200xrate.hw","1200","1200","3600","52.39","34294.1","411529.2","823058.4","1234587.6","亚太东南（柔佛）"
"kafka.1200xrate.hw","1200","1200","3600","52.39","34294.05","411528.6","823057.2","1234585.8","亚太东南（雅加达）"
"kafka.1200xrate.hw","1200","1200","3600","59.09","38677.5","464130","928260","1392390","中国香港"
"kafka.1500xrate.hw","1500","1500","3600","43.37","28385","340620","681240","1021860","华南1（广州）"
"kafka.1500xrate.hw","1500","1500","3600","43.37","28385","340620","681240","1021860","华北2（北京）"
"kafka.1500xrate.hw","1500","1500","3600","43.37","28385","340620","681240","1021860","华东2（上海）"
"kafka.1500xrate.hw","1500","1500","3600","57.68","37752.1","453025.2","906050.4","1359075.6","亚太东南（柔佛）"
"kafka.1500xrate.hw","1500","1500","3600","57.68","37752.05","453024.6","906049.2","1359073.8","亚太东南（雅加达）"
"kafka.1500xrate.hw","1500","1500","3600","65.06","42577.5","510930","1021860","1532790","中国香港"
"kafka.2000xrate.hw","2000","2000","4000","62.1","40646.13","487753.56","975507.12","1463260.68","亚太东南（柔佛）"
"kafka.2000xrate.hw","2000","2000","4000","46.69","30561","366732","733464","1100196","华北2（北京）"
"kafka.2000xrate.hw","2000","2000","4000","46.69","30561","366732","733464","1100196","华南1（广州）"
"kafka.2000xrate.hw","2000","2000","4000","46.69","30561","366732","733464","1100196","华东2（上海）"
"kafka.2000xrate.hw","2000","2000","4000","62.1","40646.13","487753.56","975507.12","1463260.68","亚太东南（雅加达）"
"kafka.2000xrate.hw","2000","2000","4000","70.04","45841.5","550098","1100196","1650294","中国香港"
"kafka.4000xrate.hw","4000","4000","6000","179.06","117199.6","1406395.2","2812790.4","4219185.6","亚太东南（柔佛）"
"kafka.4000xrate.hw","4000","4000","6000","134.63","88120","1057440","2114880","3172320","华东2（上海）"
"kafka.4000xrate.hw","4000","4000","6000","134.63","88120","1057440","2114880","3172320","华南1（广州）"
"kafka.4000xrate.hw","4000","4000","6000","134.63","88120","1057440","2114880","3172320","华北2（北京）"
"kafka.4000xrate.hw","4000","4000","6000","179.06","117199.6","1406395.2","2812790.4","4219185.6","亚太东南（雅加达）"
"kafka.4000xrate.hw","4000","4000","6000","201.95","132180","1586160","3172320","4758480","中国香港"
,
,
,
规格类型,业务读流量峰值（MB/s）,业务写流量峰值（MB/s）,分区数,按量付费 (小时),包月,包1年,包2年,包3年,地域
"kafka.800xrate.hr","1200","400","2500","35.84","23461.2","281534.4","563068.8","844603.2","亚太东南（柔佛）"
"kafka.800xrate.hr","1200","400","2500","26.95","17640","211680","423360","635040","华北2（北京）"
"kafka.800xrate.hr","1200","400","2500","26.95","17640","211680","423360","635040","华南1（广州）"
"kafka.800xrate.hr","1200","400","2500","26.95","17640","211680","423360","635040","华东2（上海）"
"kafka.800xrate.hr","1200","400","2500","40.43","26460","317520","635040","952560","亚太东南（雅加达）"
"kafka.800xrate.hr","1200","400","2500","40.43","26460","317520","635040","952560","中国香港"
"kafka.1200xrate.hr","1800","600","3600","52.39","34294.05","411528.6","823057.2","1234585.8","亚太东南（柔佛）"
"kafka.1200xrate.hr","1800","600","3600","39.39","25785","309420","618840","928260","华东2（上海）"
"kafka.1200xrate.hr","1800","600","3600","39.39","25785","309420","618840","928260","华南1（广州）"
"kafka.1200xrate.hr","1800","600","3600","39.39","25785","309420","618840","928260","华北2（北京）"
"kafka.1200xrate.hr","1800","600","3600","52.39","34294.05","411528.6","823057.2","1234585.8","亚太东南（雅加达）"
"kafka.1200xrate.hr","1800","600","3600","59.09","38677.5","464130","928260","1392390","中国香港"
"kafka.1500xrate.hr","2250","750","3600","57.68","37752.05","453024.6","906049.2","1359073.8","亚太东南（柔佛）"
"kafka.1500xrate.hr","2250","750","3600","43.37","28385","340620","681240","1021860","华北2（北京）"
"kafka.1500xrate.hr","2250","750","3600","43.37","28385","340620","681240","1021860","华南1（广州）"
"kafka.1500xrate.hr","2250","750","3600","43.37","28385","340620","681240","1021860","华东2（上海）"
"kafka.1500xrate.hr","2250","750","3600","57.68","37752.05","453024.6","906049.2","1359073.8","亚太东南（雅加达）"
"kafka.1500xrate.hr","2250","750","3600","65.06","42577.5","510930","1021860","1532790","中国香港"
"kafka.2000xrate.hr","3000","1000","4000","62.1","40646.13","487753.56","975507.12","1463260.68","亚太东南（柔佛）"
"kafka.2000xrate.hr","3000","1000","4000","46.69","30561","366732","733464","1100196","华东2（上海）"
"kafka.2000xrate.hr","3000","1000","4000","46.69","30561","366732","733464","1100196","华南1（广州）"
"kafka.2000xrate.hr","3000","1000","4000","46.69","30561","366732","733464","1100196","华北2（北京）"
"kafka.2000xrate.hr","3000","1000","4000","62.1","40646.13","487753.56","975507.12","1463260.68","亚太东南（雅加达）"
"kafka.2000xrate.hr","3000","1000","4000","70.04","45841.5","550098","1100196","1650294","中国香港"
"kafka.3000xrate.hr","4500","1500","5000","116.3","76118.56","913422.72","1826845.44","2740268.16","亚太东南（柔佛）"
"kafka.3000xrate.hr","4500","1500","5000","87.44","57232","686784","1373568","2060352","华北2（北京）"
"kafka.3000xrate.hr","4500","1500","5000","87.44","57232","686784","1373568","2060352","华南1（广州）"
"kafka.3000xrate.hr","4500","1500","5000","87.44","57232","686784","1373568","2060352","华东2（上海）"
"kafka.3000xrate.hr","4500","1500","5000","116.3","76118.56","913422.72","1826845.44","2740268.16","亚太东南（雅加达）"
"kafka.3000xrate.hr","4500","1500","5000","131.16","85848","1030176","2060352","3090528","中国香港"
,
,
,
规格类型,按量计费 (小时),包月,包1年,包2年,包3年,单位,地域
"kafka.storage.high","0.0025","1","12","24","36","GiB","华东2（上海）"
"kafka.storage.high","0.0025","1","12","24","36","GiB","华南1（广州）"
"kafka.storage.high","0.0025","1","12","24","36","GiB","华北2（北京）"
"kafka.storage.high","0.0033","1.33","15.96","31.92","47.88","GiB","亚太东南（柔佛）"
"kafka.storage.high","0.00375","1.5","18","36","54","GiB","亚太东南（雅加达）"
"kafka.storage.high","0.00375","1.5","18","36","54","GiB","中国香港"
"kafka.storage.ESSD.PL0","0.0017","0.66","7.92","15.84","23.76","GiB","亚太东南（柔佛）"
"kafka.storage.ESSD.PL0","0.00125","0.5","6","12","18","GiB","华南1（广州）"
"kafka.storage.ESSD.PL0","0.00125","0.5","6","12","18","GiB","华北2（北京）"
"kafka.storage.ESSD.PL0","0.00125","0.5","6","12","18","GiB","华东2（上海）"
"kafka.storage.ESSD.PL0","0.001875","0.75","9","18","27","GiB","亚太东南（雅加达）"
"kafka.storage.ESSD.PL0","0.001875","0.75","9","18","27","GiB","中国香港"
,
,
,
规格类型,按量计费 (小时),包月,包1年,包2年,包3年,分区数,地域
"kafka.partition","0.0069","3.32","39.9","79.8","119.7","1个","亚太东南（柔佛）"
"kafka.partition","0.0052","2.5","30","60","90","1个","华东2（上海）"
"kafka.partition","0.0052","2.5","30","60","90","1个","华北2（北京）"
"kafka.partition","0.0052","2.5","30","60","90","1个","华南1（广州）"
"kafka.partition","0.0078","3.75","45","90","135","1个","亚太东南（雅加达）"
"kafka.partition","0.0078","3.75","45","90","135","1个","中国香港"
