域名,1年注册费,3年注册费,5年注册费,10年注册费,1年续费,3年续费,5年续费,9年续费,转入费,赎回售卖价
".gold","53","225","397","827","86","258","430","774","86","1683"
".guru","53","583","1113","2438","265","795","1325","2385","265","1186"
".social","53","225","397","827","86","258","430","774","86","1291"
".today","53","313","573","1223","130","390","650","1170","130","1230"
".press","39","535","1031","2271","248","744","1240","2232","248","1533"
".design","318","952","1586","3171","317","951","1585","2853","317","2627"
".website","10","242","474","1054","116","348","580","1044","116","1234"
"英文.pro","58","418","778","1678","180","540","900","1620","180","1197"
"英文.info","36","396","756","1656","180","540","900","1620","180","1198"
"英文.net.cn","36","120","204","414","42","126","210","378","42","589"
"英文.org.cn","36","120","204","414","42","126","210","378","42","589"
"英文.mobi","58","738","1418","3118","340","1020","1700","3060","340","1219"
"英文.cloud","13","289","565","1255","138","414","690","1242","138","1234"
"英文.love","185","555","925","1850","185","555","925","1665","185","2385"
"英文.pet","38","354","670","1460","158","474","790","1422","158","1300"
"英文.red","23","313","603","1328","145","435","725","1305","145","1197"
"英文.auto","17000","51000","85000","170000","17000","51000","85000","153000","17000","21010"
"英文.black","108","948","1788","3888","420","1260","2100","3780","420","1524"
"英文.ac.cn","36","120","204","414","42","126","210","378","42","589"
"英文.bj.cn","36","120","204","414","42","126","210","378","42","589"
"英文.tj.cn","36","120","204","414","42","126","210","378","42","589"
"英文.sh.cn","36","120","204","414","42","126","210","378","42","589"
"英文.cq.cn","36","120","204","414","42","126","210","378","42","589"
"英文.he.cn","36","120","204","414","42","126","210","378","42","589"
"英文.sx.cn","36","120","204","414","42","126","210","378","42","589"
"英文.nm.cn","36","120","204","414","42","126","210","378","42","589"
"英文.ln.cn","36","120","204","414","42","126","210","378","42","589"
"英文.jl.cn","36","120","204","414","42","126","210","378","42","589"
"英文.hl.cn","36","120","204","414","42","126","210","378","42","589"
"英文.js.cn","36","120","204","414","42","126","210","378","42","589"
"英文.zj.cn","36","120","204","414","42","126","210","378","42","589"
"英文.ah.cn","36","120","204","414","42","126","210","378","42","589"
"英文.fj.cn","36","120","204","414","42","126","210","378","42","589"
"英文.jx.cn","36","120","204","414","42","126","210","378","42","589"
"英文.sd.cn","36","120","204","414","42","126","210","378","42","589"
"英文.ha.cn","36","120","204","414","42","126","210","378","42","589"
"英文.hb.cn","36","120","204","414","42","126","210","378","42","589"
"英文.hn.cn","36","120","204","414","42","126","210","378","42","589"
"英文.gd.cn","36","120","204","414","42","126","210","378","42","589"
"英文.gx.cn","36","120","204","414","42","126","210","378","42","589"
"英文.hi.cn","36","120","204","414","42","126","210","378","42","589"
"英文.sc.cn","36","120","204","414","42","126","210","378","42","589"
"英文.gz.cn","36","120","204","414","42","126","210","378","42","589"
"英文.yn.cn","36","120","204","414","42","126","210","378","42","589"
"英文.xz.cn","36","120","204","414","42","126","210","378","42","589"
"英文.sn.cn","36","120","204","414","42","126","210","378","42","589"
"英文.gs.cn","36","120","204","414","42","126","210","378","42","589"
"英文.qh.cn","36","120","204","414","42","126","210","378","42","589"
"英文.nx.cn","36","120","204","414","42","126","210","378","42","589"
"英文.xj.cn","36","120","204","414","42","126","210","378","42","589"
"英文.tw.cn","36","120","204","414","42","126","210","378","42","589"
"英文.hk.cn","36","120","204","414","42","126","210","378","42","589"
"英文.mo.cn","36","120","204","414","42","126","210","378","42","589"
".佛山","212","890","1568","3263","339","1017","1695","3051","339","1100"
".公司","48","244","440","930","98","294","490","882","98","1518"
".集团","8000","28000","48000","98000","10000","30000","50000","90000","10000","28600"
".手机","2950","8850","14750","29500","2950","8850","14750","26550","2950","4356"
".网店","1280","3840","6400","12800","1280","3840","6400","11520","1280","15180"
".网络","45","241","437","927","98","294","490","882","98","1518"
".网址","2800","8400","14000","28000","2800","8400","14000","25200","2800","1848"
".我爱你","168","504","840","1680","168","504","840","1512","168","1527"
".在线","1980","5940","9900","19800","1980","5940","9900","17820","1980","3300"
".招聘","3880","11640","19400","38800","3880","11640","19400","34920","3880","6215"
".中国","42","238","434","924","98","294","490","882","98","1518"
".中文网","2800","8400","14000","28000","2800","8400","14000","25200","2800","4000"
".购物","1760","5852","9944","20174","2046","6138","10230","18414","2046","3465"
".企业","1368","4104","6840","13680","1368","4104","6840","12312","1368","4500"
