实例规格,包1年,包2年,包3年
"GMP基础版 MAU范围（1500-2000万）","2600000","5200000","7800000"
"GMP基础版 MAU范围（2000-2500万）","3000000","6000000","9000000"
"GMP基础版 MAU范围（2500-3000万）","3600000","7200000","10800000"
"GMP基础版 MAU范围（3000-3500万）","3850000","7700000","11550000"
"GMP基础版 MAU范围（3500-4000万）","4400000","8800000","13200000"
"GMP基础版 MAU范围（4000-4500万）","4500000","9000000","13500000"
"GMP基础版 MAU范围（4500-5000万）","5000000","10000000","15000000"
"GMP智能推荐服务 MAU范围（0-10万）","135000","270000","405000"
"GMP智能推荐服务 MAU范围（10-20万）","141600","283200","424800"
"GMP智能推荐服务 MAU范围（20-30万）","150000","300000","450000"
"GMP智能推荐服务 MAU范围（30-40万）","176000","352000","528000"
"GMP智能推荐服务 MAU范围（40-50万）","180000","360000","540000"
"GMP智能推荐服务 MAU范围（50-60万）","210000","420000","630000"
"GMP智能推荐服务 MAU范围（60-70万）","224000","448000","672000"
"GMP智能推荐服务 MAU范围（70-80万）","240000","480000","720000"
"GMP智能推荐服务 MAU范围（80-90万）","270000","540000","810000"
"GMP智能推荐服务 MAU范围（90-100万）","300000","600000","900000"
"GMP智能推荐服务 MAU范围（100-110万）","330000","660000","990000"
"GMP智能推荐服务 MAU范围（110-120万）","336000","672000","1008000"
"GMP智能推荐服务 MAU范围（120-130万）","338000","676000","1014000"
"GMP智能推荐服务 MAU范围（130-140万）","350000","700000","1050000"
"GMP智能推荐服务 MAU范围（140-150万）","360000","720000","1080000"
"GMP智能推荐服务 MAU范围（150-160万）","368000","736000","1104000"
"GMP智能推荐服务 MAU范围（160-170万）","374000","748000","1122000"
"GMP智能推荐服务 MAU范围（170-180万）","378000","756000","1134000"
"GMP智能推荐服务 MAU范围（180-190万）","380000","760000","1140000"
"GMP智能推荐服务 MAU范围（190-200万）","400000","800000","1200000"
"GMP智能推荐服务 MAU范围（200-250万）","500000","1000000","1500000"
"GMP智能推荐服务 MAU范围（250-300万）","540000","1080000","1620000"
"GMP智能推荐服务 MAU范围（300-350万）","560000","1120000","1680000"
"GMP智能推荐服务 MAU范围（350-400万）","640000","1280000","1920000"
"GMP智能推荐服务 MAU范围（400-450万）","720000","1440000","2160000"
"GMP智能推荐服务 MAU范围（450-500万）","800000","1600000","2400000"
"GMP智能推荐服务 MAU范围（500-600万）","900000","1800000","2700000"
"GMP智能推荐服务 MAU范围（600-700万）","1050000","2100000","3150000"
"GMP智能推荐服务 MAU范围（700-800万）","1200000","2400000","3600000"
"GMP智能推荐服务 MAU范围（800-900万）","1260000","2520000","3780000"
"GMP智能推荐服务 MAU范围（900-1000万）","1400000","2800000","4200000"
"GMP智能推荐服务 MAU范围（1000-1500万）","2100000","4200000","6300000"
"GMP智能推荐服务 MAU范围（1500-2000万）","2800000","5600000","8400000"
"GMP智能推荐服务 MAU范围（2000-2500万）","3250000","6500000","9750000"
"GMP智能推荐服务 MAU范围（2500-3000万）","3900000","7800000","11700000"
"GMP智能推荐服务 MAU范围（3000-3500万）","4200000","8400000","12600000"
"GMP智能推荐服务 MAU范围（3500-4000万）","4800000","9600000","14400000"
"GMP智能推荐服务 MAU范围（4000-4500万）","4950000","9900000","14850000"
"GMP智能推荐服务 MAU范围（4500-5000万）","5500000","11000000","16500000"
"GMP魔方落地页（MAU范围0-10万）","65000","130000","195000"
"GMP魔方落地页（MAU范围10-20万）","70000","140000","210000"
"GMP魔方落地页（MAU范围20-30万）","90000","180000","270000"
"GMP魔方落地页（MAU范围30-40万）","110000","220000","330000"
"GMP魔方落地页（MAU范围40-50万）","130000","260000","390000"
"GMP魔方落地页（MAU范围50-60万）","150000","300000","450000"
"GMP魔方落地页（MAU范围60-70万）","170000","340000","510000"
"GMP魔方落地页（MAU范围70-80万）","190000","380000","570000"
"GMP魔方落地页（MAU范围80-90万）","210000","420000","630000"
"GMP魔方落地页（MAU范围90-100万）","230000","460000","690000"
"GMP魔方落地页（MAU范围100-110万）","250000","500000","750000"
"GMP魔方落地页（MAU范围110-120万）","270000","540000","810000"
"GMP魔方落地页（MAU范围120-130万）","290000","580000","870000"
"GMP魔方落地页（MAU范围130-140万）","310000","620000","930000"
"GMP魔方落地页（MAU范围140-150万）","330000","660000","990000"
"GMP魔方落地页（MAU范围150-160万）","350000","700000","1050000"
"GMP魔方落地页（MAU范围160-170万）","370000","740000","1110000"
"GMP魔方落地页（MAU范围170-180万）","390000","780000","1170000"
"GMP魔方落地页（MAU范围180-190万）","410000","820000","1230000"
"GMP魔方落地页（MAU范围190-200万）","430000","860000","1290000"
"GMP魔方落地页（MAU范围200-250万）","480000","960000","1440000"
"GMP魔方落地页（MAU范围250-300万）","530000","1060000","1590000"
"GMP魔方落地页（MAU范围300-350万）","580000","1160000","1740000"
"GMP魔方落地页（MAU范围350-400万）","630000","1260000","1890000"
"GMP魔方落地页（MAU范围400-450万）","680000","1360000","2040000"
"GMP魔方落地页（MAU范围450-500万）","730000","1460000","2190000"
"GMP魔方落地页（MAU范围500-600万）","930000","1860000","2790000"
"GMP魔方落地页（MAU范围600-700万）","830000","1660000","2490000"
"GMP魔方落地页（MAU范围700-800万）","1030000","2060000","3090000"
"GMP魔方落地页（MAU范围800-900万）","1130000","2260000","3390000"
"GMP魔方落地页（MAU范围900-1000万）","1230000","2460000","3690000"
"GMP魔方落地页（MAU范围1000-1500万）","1730000","3460000","5190000"
"GMP魔方落地页（MAU范围1500-2000万）","2230000","4460000","6690000"
"GMP魔方落地页（MAU范围2000-2500万）","2730000","5460000","8190000"
"GMP魔方落地页（MAU范围2500-3000万）","3230000","6460000","9690000"
"GMP魔方落地页（MAU范围3000-3500万）","3730000","7460000","11190000"
"GMP魔方落地页（MAU范围3500-4000万）","4230000","8460000","12690000"
"GMP魔方落地页（MAU范围4000-4500万）","4730000","9460000","14190000"
"GMP魔方落地页（MAU范围4500-5000万）","5230000","10460000","15690000"
"GMP企业微信","[0, 50], 1200；(50, 100], 900；(100, 200], 800；(200, 500], 700；(500, 1000], 600；(1000, 3000], 500；(3000, 5000], 400；(5000, 10000], 300；(10000, +∞), 300","[0, 50], 2400；(50, 100], 1800；(100, 200], 1600；(200, 500], 1400；(500, 1000], 1200；(1000, 3000], 1000；(3000, 5000], 800；(5000, 10000], 600；(10000, +∞), 600","[0, 50], 3600；(50, 100], 2700；(100, 200], 2400；(200, 500], 2100；(500, 1000], 1800；(1000, 3000], 1500；(3000, 5000], 1200；(5000, 10000], 900；(10000, +∞), 900"
