节点规格,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"4C16G","1.5","720","8640","17280","25920","个","华南1（广州）"
"4C16G","2.091","1003.68","12044.16","24088.32","36132.48","个","亚太东南（雅加达）"
"4C32G","2.849","1367.52","16410.24","32820.48","49230.72","个","中国香港"
"4C32G","1.75","840","10080","20160","30240","个","华北2（北京）"
"4C32G","1.75","840","10080","20160","30240","个","华南1（广州）"
"4C32G","1.75","840","10080","20160","30240","个","华东2（上海）"
"4C32G","2.625","1260","15120","30240","45360","个","亚太东南（柔佛）"
"4C32G","2.467","1184.16","14209.92","28419.84","42629.76","个","亚太东南（雅加达）"
"8C16G","3.818","1832.64","21991.68","43983.36","65975.04","个","中国香港"
"8C16G","2","960","11520","23040","34560","个","华东2（上海）"
"8C16G","2","960","11520","23040","34560","个","华北2（北京）"
"8C16G","3","1440","17280","34560","51840","个","亚太东南（柔佛）"
"8C16G","2","960","11520","23040","34560","个","华南1（广州）"
"8C16G","3","1440","17280","34560","51840","个","亚太东南（雅加达）"
"8C32G","4.778","2293.44","27521.28","55042.56","82563.84","个","中国香港"
"8C32G","3","1440","17280","34560","51840","个","华东2（上海）"
"8C32G","3","1440","17280","34560","51840","个","华北2（北京）"
"8C32G","4.5","2160","25920","51840","77760","个","亚太东南（柔佛）"
"8C32G","3","1440","17280","34560","51840","个","华南1（广州）"
"8C32G","4.153","1993.44","23921.28","47842.56","71763.84","个","亚太东南（雅加达）"
"8C64G","5.657","2715.36","32584.32","65168.64","97752.96","个","中国香港"
"8C64G","5.34","2565","30780","61560","92340","个","亚太东南（柔佛）"
"8C64G","3.56","1710","20520","41040","61560","个","华东2（上海）"
"8C64G","3.56","1710","20520","41040","61560","个","华南1（广州）"
"8C64G","3.56","1710","20520","41040","61560","个","华北2（北京）"
"8C64G","4.9","2352","28224","56448","84672","个","亚太东南（雅加达）"
"16C32G","7.586","3641.28","43695.36","87390.72","131086.08","个","中国香港"
"16C32G","4","1920","23040","46080","69120","个","华东2（上海）"
"16C32G","4","1920","23040","46080","69120","个","华北2（北京）"
"16C32G","6","2880","34560","69120","103680","个","亚太东南（柔佛）"
"16C32G","4","1920","23040","46080","69120","个","华南1（广州）"
"16C32G","6","2880","34560","69120","103680","个","亚太东南（雅加达）"
"16C64G","9.424","4523.52","54282.24","108564.48","162846.72","个","中国香港"
"16C64G","6","2880","34560","69120","103680","个","华南1（广州）"
"16C64G","9","4320","51840","103680","155520","个","亚太东南（柔佛）"
"16C64G","6","2880","34560","69120","103680","个","华东2（上海）"
"16C64G","6","2880","34560","69120","103680","个","华北2（北京）"
"16C64G","8.192","3932.16","47185.92","94371.84","141557.76","个","亚太东南（雅加达）"
"16C128G","11.39","5467.2","65606.4","131212.8","196819.2","个","中国香港"
"16C128G","12","5760","69120","138240","207360","个","华南1（广州）"
"16C128G","18","8640","103680","207360","311040","个","亚太东南（柔佛）"
"16C128G","12","5760","69120","138240","207360","个","华北2（北京）"
"16C128G","12","5760","69120","138240","207360","个","华东2（上海）"
"16C128G","9.729","4669.92","56039.04","112078.08","168117.12","个","亚太东南（雅加达）"
"32C128G","18.451","8856.48","106277.76","212555.52","318833.28","个","中国香港"
"32C128G","15","7200","86400","172800","259200","个","华东2（上海）"
"32C128G","15","7200","86400","172800","259200","个","华北2（北京）"
"32C128G","22.5","10800","129600","259200","388800","个","亚太东南（柔佛）"
"32C128G","15","7200","86400","172800","259200","个","华南1（广州）"
"32C128G","16.039","7698.72","92384.64","184769.28","277153.92","个","亚太东南（雅加达）"
"32C256G","22.78","10934.4","131212.8","262425.6","393638.4","个","中国香港"
"32C256G","24","11520","138240","276480","414720","个","华东2（上海）"
"32C256G","24","11520","138240","276480","414720","个","华北2（北京）"
"32C256G","24","11520","138240","276480","414720","个","华南1（广州）"
"32C256G","36","17280","207360","414720","622080","个","亚太东南（柔佛）"
"32C256G","19.317","9272.16","111265.92","222531.84","333797.76","个","亚太东南（雅加达）"
,
,
,
类型,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"本地SSD","0.00188","0.9","10.8","21.6","32.4","GiB","亚太东南（雅加达）"
"本地SSD","0.00125","0.6","7.2","14.4","21.6","GiB","华东2（上海）"
"本地SSD","0.00125","0.6","7.2","14.4","21.6","GiB","华南1（广州）"
"本地SSD","0.00125","0.6","7.2","14.4","21.6","GiB","华北2（北京）"
"本地SSD","0.00188","0.9","10.8","21.6","32.4","GiB","亚太东南（柔佛）"
"本地SSD","0.00188","0.9","10.8","21.6","32.4","GiB","中国香港"
